Lattitude,Longitude,SubStation_Name,Capacity
26.0729041,93.778068,Sarihajan S/S,10
26.5475811,93.825265,LETEKUJAN SS,7.5
26.9405401,93.83243,Narayanpur S/S,10
27.0962456,93.8373565,Pothalipahar S/S,10
27.0823701,93.8401,AIDC S/S,2.5
26.6192001,93.84361,KHUMTAI SS,7.5
26.2122951,93.862867,SARUPATHAR SS,10
26.3254101,93.875023,Silonijan S/S,10
26.2773701,93.88802,BARPATHAR SS,7.5
27.0234601,93.91398,Bihpuria S/S,10
26.6214561,93.925534,Rangoliting GSS,3.15
26.1480151,93.931853,URIAM GHAT SS,10
27.1253901,93.93408,Laluk S/S,10
26.5136081,93.961327,KAMARPATTY SS,20
26.4862161,93.975556,TETELITOL SS,10
26.5309801,93.98341,JONAKI NAGAR SS,10
26.6116691,93.984932,GANAK PUKHURI SS,10
26.7206389,93.9859757,DERGAON SS,10
27.2085201,94.0085,Siloni Bari S/S,10
26.4142441,94.0451646,USHA SS,7.5
26.5365201,94.05484,KAMARBANDHA SS,5
27.3087101,94.08697,Balijan S/S,10
26.715756,94.1006931,Panichokua SS,10
27.1585001,94.10898,Panigaon S/S,5
27.2157401,94.12037,Ramani Chuk S/S,15
27.3443607,94.1707638,Boginadi SS,10
26.6585324,94.1260316,GOTONGA SS,8.15
26.7363235,94.1553067,RRL ( Pulibor ) SS,5.65
26.9857671,94.169224,MAJULI ( GARMUR) SS,7.5
26.7640201,94.1841,AJANTA BYPASS SS,10
26.5928404,94.1866213,TITABOR SS,20
26.7426001,94.1951,JMCH SS,10
26.7186099,94.210944,LICHUBARI SS,7.5
26.7526398,94.2110503,JORHAT SS,30
26.7253059,94.2284444,Cinnamora SS,20
26.7799932,94.2305245,Kolakhowa SS,5.65
26.7431011,94.243668,Garmur S/S,15
26.772991,94.2505335,KENDUGURI SS,10
26.6975601,94.26743,MUR MURIYA SS,10
26.7950495,94.3189362,KAKOJAN SS,10
26.6323782,94.3342621,MARIANI SS,15
26.6764601,94.38666,Nakachari SS,5
27.3094801,94.40277,Ghilamora S/S,10
27.2226101,94.43143,Dhakuakhana S/S,10
27.4145201,94.43174,Bordoloni S/S,10
26.8366521,94.435987,Teok S/S,10
26.8695001,94.4997,Jhanji SS,10
26.8165571,94.527908,Amguri SS,10
26.9451511,94.540885,Gaurisagar SS,10
27.3297926,94.54332,Machkhowa S/S,10
26.7724281,94.557804,Haluwating SS,5
27.4808601,94.56808,Dhemaji S/S,10
26.7580823,94.586987,Barholla SS,5
27.0251001,94.6263,Progoti SS,10
26.9583121,94.63877,Rongpur SS,20
26.9744131,94.641983,Phukan Nagar SS,20
26.8820991,94.652802,Namti SS,5
27.0320001,94.678703,Konwargaon SS,5
26.8029991,94.694199,Geleky SS,10
27.1208501,94.718163,IID Centre SS Demow,10
27.5914201,94.73471,Silapothar S/S,12.5
27.1220001,94.741997,Demow SS,10
27.2137281,94.743673,Nitaipukhuri SS,10
26.9372221,94.744492,Gargaon SS,20
27.0347001,94.7786,Nemuguri SS,10
27.1252001,94.844002,Sepon SS,10
26.9416011,94.855793,Napuk Sub Station ,10
27.4184601,94.85709,Bogibeel SS,10
27.3739861,94.86666,Sessa S/S,10
27.7128601,94.86768,Simen Chapori S/S,10
27.4248881,94.889092,Biheating S/S,15
27.4466741,94.892347,University S/S,10
27.1439971,94.893013,Moran SS,7.5
27.2716411,94.903809,Khowang SS,6.3
27.4860949,94.9060124,Phoolbagan S/S,15
27.4217801,94.921026,Khanikar S/S,20
27.1175991,94.934303,Kochumari SS,5
27.4759621,94.936942,Kodomoni S/S,20
27.4843881,94.940901,AMCH S/S,10
26.9921971,94.94387,Maibela SS,10
27.4739381,94.981483,ICMR,2.5
27.2607721,95.006746,Bamunbari SS,10
27.7656401,95.02727,Tellam S/S,5
27.0301531,95.042488,Sonari SS,15
27.4571701,95.059181,Moderkhat S/S,10
27.4994361,95.070164,Hezel bank S/S,5
